NRKARTY,DATAW,MASA,JEDN,FIRMA,NR_KLIENTA,NR_MAGW,NR_ODPADU
160/0W/2019,27.02.2019,0.015,Mg.,0,13452,35122,575
84/1W/2019,13.03.2019,17.4,Mg.,1,4435,35172,575
161/0W/2019,27.02.2019,2.183,Mg.,0,13452,35123,564
1468/0W/2019,12.12.2019,14.1,Mg.,0,5302,36919,531
68/1W/2019,28.02.2019,1.0,Mg.,1,313,35124,531
162/0W/2019,28.02.2019,21.62,Mg.,0,9156,35125,594
69/1W/2019,01.03.2019,5.54,Mg.,1,6827,35126,531
163/0W/2019,25.02.2019,9.68,Mg.,0,18441,35127,582
70/1W/2019,27.02.2019,3.7,Mg.,1,6827,35128,588
164/0W/2019,27.02.2019,15.0,Mg.,0,827,35129,531
165/0W/2019,27.02.2019,50.0,Mg.,0,827,35130,694
71/1W/2019,28.02.2019,10.21,Mg.,1,16393,35131,572
72/1W/2019,28.02.2019,22.86,Mg.,1,5058,35132,531
843/0W/2019,01.08.2019,11.3,Mg.,0,14173,36093,610
85/1W/2019,13.03.2019,1.3,Mg.,1,313,35173,604
206/0W/2019,14.03.2019,7.0,Mg.,0,2349,35192,271
86/1W/2019,13.03.2019,8.96,Mg.,1,6827,35174,531
194/0W/2019,25.02.2019,24.28,Mg.,0,6357,35175,570
35/1W/2019,31.01.2019,1.69,Mg.,1,16393,34994,531
195/0W/2019,26.02.2019,5.28,Mg.,0,6357,35176,579
36/1W/2019,30.01.2019,0.45,Mg.,1,396,34995,576
37/1W/2019,30.01.2019,0.25,Mg.,1,396,34996,565
38/1W/2019,30.01.2019,0.1,Mg.,1,396,34997,565
76/0W/2019,04.02.2019,24.54,Mg.,0,11299,34998,604
77/0W/2019,04.02.2019,24.52,Mg.,0,11299,34999,345
39/1W/2019,04.02.2019,1.0,Mg.,1,396,35000,565
40/1W/2019,04.02.2019,1.0,Mg.,1,313,35001,531
78/0W/2019,30.01.2019,1.762,Mg.,0,13452,35002,531
79/0W/2019,30.01.2019,0.028,Mg.,0,13452,35003,564
80/0W/2019,01.02.2019,1.04,Mg.,0,17368,35004,531
